类型,根函数名,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"Root","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0.00,
"Callee","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)","[clr.dll]",1,1,2.94,2.94,
"Callee","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.Meth.AddUser(class Trackboard.User)",1,0,2.94,0.00,
"Root","Trackboard.MainWindow.btnCos_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnCos_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0.00,
"Callee","Trackboard.MainWindow.btnCos_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.DATA.GetCourses()",2,0,5.88,0.00,
"Root","Trackboard.MainWindow.btnOff_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnOff_Click(object,class System.Windows.RoutedEventArgs)",3,0,8.82,0.00,
"Callee","Trackboard.MainWindow.btnOff_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.Login..ctor()",3,0,8.82,0.00,
"Root","Trackboard.MainWindow.btnPrf_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnPrf_Click(object,class System.Windows.RoutedEventArgs)",1,0,2.94,0.00,
"Callee","Trackboard.MainWindow.btnPrf_Click(object,class System.Windows.RoutedEventArgs)","[clr.dll]",1,1,2.94,2.94,
"Root","Trackboard.MainWindow.btnStu_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnStu_Click(object,class System.Windows.RoutedEventArgs)",1,0,2.94,0.00,
"Callee","Trackboard.MainWindow.btnStu_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.DATA.GetStudents()",1,0,2.94,0.00,
"Root","Trackboard.MainWindow.btnTch_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnTch_Click(object,class System.Windows.RoutedEventArgs)",2,0,5.88,0.00,
"Callee","Trackboard.MainWindow.btnTch_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.DATA.GetTeachers()",2,0,5.88,0.00,
"Root","Trackboard.MainWindow.btnUser_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.MainWindow.btnUser_Click(object,class System.Windows.RoutedEventArgs)",5,0,14.71,0.00,
"Callee","Trackboard.MainWindow.btnUser_Click(object,class System.Windows.RoutedEventArgs)","Trackboard.DATA.GetUsers()",5,0,14.71,0.00,
"Root","Trackboard.Meth.AddUser(class Trackboard.User)","Trackboard.Meth.AddUser(class Trackboard.User)",1,0,2.94,0.00,
"Caller","Trackboard.Meth.AddUser(class Trackboard.User)","Trackboard.MainWindow.btnAdd_Click(object,class System.Windows.RoutedEventArgs)",1,0,2.94,0.00,
"Callee","Trackboard.Meth.AddUser(class Trackboard.User)","Trackboard.DATA.AddUser(class Trackboard.User)",1,0,2.94,0.00,
"Root","Trackboard.Meth.CheckLogin(string,string)","Trackboard.Meth.CheckLogin(string,string)",9,0,26.47,0.00,
"Caller","Trackboard.Meth.CheckLogin(string,string)","Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)",9,0,26.47,0.00,
"Callee","Trackboard.Meth.CheckLogin(string,string)","[clr.dll]",1,1,2.94,2.94,
"Callee","Trackboard.Meth.CheckLogin(string,string)","Trackboard.DATA.GetUsers()",8,0,23.53,0.00,
"Root","Trackboard.Meth.Decrypt(string)","Trackboard.Meth.Decrypt(string)",3,0,8.82,0.00,
"Caller","Trackboard.Meth.Decrypt(string)","Trackboard.Meth.ReadUData()",3,0,8.82,0.00,
"Callee","Trackboard.Meth.Decrypt(string)","System.Security.Cryptography.Rfc2898DeriveBytes.GetBytes(int32)",3,3,8.82,8.82,
"Root","Trackboard.Meth.Encrypt(string)","Trackboard.Meth.Encrypt(string)",7,0,20.59,0.00,
"Caller","Trackboard.Meth.Encrypt(string)","Trackboard.Meth.SaveUData(class Trackboard.User)",7,0,20.59,0.00,
"Callee","Trackboard.Meth.Encrypt(string)","System.Security.Cryptography.Rfc2898DeriveBytes.GetBytes(int32)",7,7,20.59,20.59,
"Root","Trackboard.Meth.ReadUData()","Trackboard.Meth.ReadUData()",3,0,8.82,0.00,
"Caller","Trackboard.Meth.ReadUData()","Trackboard.Login..ctor()",3,0,8.82,0.00,
"Callee","Trackboard.Meth.ReadUData()","Trackboard.Meth.Decrypt(string)",3,0,8.82,0.00,
"Root","Trackboard.Meth.SaveUData(class Trackboard.User)","Trackboard.Meth.SaveUData(class Trackboard.User)",7,0,20.59,0.00,
"Caller","Trackboard.Meth.SaveUData(class Trackboard.User)","Trackboard.Login.Button_Click_3(object,class System.Windows.RoutedEventArgs)",7,0,20.59,0.00,
"Callee","Trackboard.Meth.SaveUData(class Trackboard.User)","Trackboard.Meth.Encrypt(string)",7,0,20.59,0.00,
